path	duration_s	bitrate_kbps	sample_rate	channels	codec	size_bytes	result	note
The-Eleventh-Figure/01 - The Eleventh Figure.mp3	142.728000	190	48000	2	mp3	3398359	ok	
The-Eleventh-Figure/02 - The Store-Room of the New Church.mp3	121.800000	186	48000	2	mp3	2843826	ok	
The-Eleventh-Figure/03 - The Road to Mexico.mp3	97.680000	186	48000	2	mp3	2273099	ok	
The-Eleventh-Figure/04 - The Cathedral of the Child.mp3	139.128000	183	48000	2	mp3	3194310	ok	
The-Eleventh-Figure/05 - The Theft of the Warm Child.mp3	119.280000	187	48000	2	mp3	2790326	ok	
The-Eleventh-Figure/06 - Marfil.mp3	166.440000	178	48000	2	mp3	3712208	ok	
The-Eleventh-Figure/07 - The Wreck of the Singing Hold.mp3	129.240000	179	48000	2	mp3	2900510	ok	
The-Eleventh-Figure/08 - The Mission Road.mp3	157.920000	176	48000	2	mp3	3490208	ok	
The-Eleventh-Figure/09 - The Iron Roads.mp3	136.512000	189	48000	2	mp3	3228218	ok	
The-Eleventh-Figure/10 - The Cup Country.mp3	129.432000	186	48000	2	mp3	3012258	ok	
The-Eleventh-Figure/11 - The Church That Let Itself Be Burned.mp3	177.192000	187	48000	2	mp3	4161087	ok	
The-Eleventh-Figure/12 - The Lullaby, Unfinished.mp3	127.272000	178	48000	2	mp3	2838334	ok	
The-Hollow-Destroyed/01 - The Daughter Finds the Mountain.mp3	258.600000	182	48000	2	mp3	5883464	ok	
The-Hollow-Destroyed/02 - Thirty-Two Years of Absence.mp3	203.472000	178	48000	2	mp3	4539371	ok	
The-Hollow-Destroyed/03 - Bloodlines Remembered.mp3	214.560000	182	48000	2	mp3	4886157	ok	
The-Hollow-Destroyed/04 - The Caves Beneath Manila.mp3	254.688000	186	48000	2	mp3	5921879	ok	
The-Hollow-Destroyed/05 - Mother.mp3	204.672000	177	48000	2	mp3	4537201	ok	
The-Hollow-Destroyed/06 - Hands in the Dark.mp3	266.640000	185	48000	2	mp3	6169865	ok	
The-Hollow-Destroyed/07 - The Geometry Completed.mp3	233.832000	181	48000	2	mp3	5303776	ok	
The-Hollow-Destroyed/08 - Fullness Against Hunger.mp3	234.792000	181	48000	2	mp3	5318264	ok	
The-Hollow-Destroyed/09 - The Hollow Starves.mp3	232.152000	183	48000	2	mp3	5325258	ok	
The-Hollow-Destroyed/10 - Unchanged.mp3	183.912000	183	48000	2	mp3	4214302	ok	
The-Hollow-Destroyed/11 - The Weight of Infants.mp3	224.640000	183	48000	2	mp3	5151402	ok	
The-Hollow-Destroyed/12 - Four Women Weeping.mp3	186.408000	179	48000	2	mp3	4193635	ok	
The-Hollow-Destroyed/13 - Lumawig's Blade.mp3	177.840000	190	48000	2	mp3	4231327	ok	
The-Hollow-Destroyed/14 - The Vows in Tagalog.mp3	211.080000	182	48000	2	mp3	4811112	ok	
The-Hollow-Destroyed/15 - The Garden Above Batad.mp3	253.128000	181	48000	2	mp3	5743998	ok	
The-Hollow-Destroyed/16 - Six Points.mp3	222.120000	182	48000	2	mp3	5075927	ok	
The-Hollow-Destroyed/17 - (Bonus Track) The Death of The Hollow.mp3	266.808000	182	48000	2	mp3	6072436	ok	
The-Permanent-Season/01 - Fontanelle.mp3	143.040000	182	48000	2	mp3	3254689	ok	
The-Permanent-Season/02 - The Nursery in the Dark.mp3	138.240000	180	48000	2	mp3	3118713	ok	
The-Permanent-Season/03 - First Milk, First Blood.mp3	230.664000	184	48000	2	mp3	5331577	ok	
The-Permanent-Season/04 - Sleepwalker.mp3	206.232000	186	48000	2	mp3	4803701	ok	
The-Permanent-Season/05 - The Cradle Empty.mp3	254.952000	183	48000	2	mp3	5861960	ok	
The-Permanent-Season/06 - Teeth That Walk.mp3	183.240000	176	48000	2	mp3	4052449	ok	
The-Permanent-Season/07 - Lumawig's Lament.mp3	189.624000	182	48000	2	mp3	4332024	ok	
The-Permanent-Season/08 - Forty Blades.mp3	207.624000	192	48000	2	mp3	4994291	ok	
The-Permanent-Season/09 - The Absence.mp3	170.760000	200	48000	2	mp3	4276520	ok	
The-Permanent-Season/10 - Palace of Bone.mp3	192.264000	182	48000	2	mp3	4387126	ok	
The-Permanent-Season/11 - The Season Without End.mp3	192.384000	182	48000	2	mp3	4395407	ok	
The-Permanent-Season/12 - Hollow Keeps What Answers.mp3	164.592000	176	48000	2	mp3	3630185	ok	
The-Permanent-Season/13 - Dalisay's Dream.mp3	152.952000	181	48000	2	mp3	3471746	ok	
The-Red-Hollow-of-Kentucky/01 - Four Tents, One Fire.mp3	208.080000	183	48000	2	mp3	4777868	ok	
The-Red-Hollow-of-Kentucky/02 - Salt at the Treeline.mp3	172.680000	179	48000	2	mp3	3872510	ok	
The-Red-Hollow-of-Kentucky/03 - Black Laurel Psalm.mp3	208.632000	178	48000	2	mp3	4657989	ok	
The-Red-Hollow-of-Kentucky/04 - Mouths in the Hemlock.mp3	196.824000	184	48000	2	mp3	4529496	ok	
The-Red-Hollow-of-Kentucky/05 - Borrowed Skin.mp3	152.952000	184	48000	2	mp3	3536716	ok	
The-Red-Hollow-of-Kentucky/06 - Red Supper at Stone Creek.mp3	189.504000	178	48000	2	mp3	4219957	ok	
The-Red-Hollow-of-Kentucky/07 - The Fourth Name Is Not Hers.mp3	171.960000	176	48000	2	mp3	3793647	ok	
The-Red-Hollow-of-Kentucky/08 - Ash-Kiss Covenant.mp3	144.864000	177	48000	2	mp3	3214065	ok	
The-Red-Hollow-of-Kentucky/09 - Lanterns for the Taken.mp3	186.744000	183	48000	2	mp3	4290587	ok	
The-Red-Hollow-of-Kentucky/10 - Dawn Refuses Us (Final Transmission).mp3	193.320000	175	48000	2	mp3	4232953	ok	
The-Solitary-Path/01 - The House on the Mountain.mp3	288.432000	181	48000	2	mp3	6537751	ok	
The-Solitary-Path/02 - The Texts Lumawig Left.mp3	212.808000	184	48000	2	mp3	4919817	ok	
The-Solitary-Path/03 - First Blood Memory.mp3	262.560000	176	48000	2	mp3	5785187	ok	
The-Solitary-Path/04 - The Prayer Without Words.mp3	269.640000	177	48000	2	mp3	5982786	ok	
The-Solitary-Path/05 - The Dreaming Begins.mp3	264.648000	179	48000	2	mp3	5923525	ok	
The-Solitary-Path/06 - The Loneliness of Refusal.mp3	212.832000	170	48000	2	mp3	4523264	ok	
The-Solitary-Path/07 - The Old Men With Chicken Bones (Reprise).mp3	226.512000	178	48000	2	mp3	5060192	ok	
The-Solitary-Path/08 - The Weapon of Satisfaction.mp3	237.552000	194	48000	2	mp3	5781632	ok	
The-Solitary-Path/09 - The Teeth in Her Dreams.mp3	212.832000	179	48000	2	mp3	4778912	ok	
The-Solitary-Path/10 - The Blood of the Ancients.mp3	222.432000	180	48000	2	mp3	5005076	ok	
The-Solitary-Path/11 - Bathala Speaks.mp3	294.360000	177	48000	2	mp3	6533167	ok	
The-Solitary-Path/12 - The Descent.mp3	234.432000	184	48000	2	mp3	5403643	ok	
The-Unholy-Blood/01 - First of the Adult Kine.mp3	166.440000	183	48000	2	mp3	3820583	ok	
The-Unholy-Blood/02 - The Temple Beneath Payatas.mp3	207.720000	199	48000	2	mp3	5187287	ok	
The-Unholy-Blood/03 - Dissolution Hymn.mp3	354.240000	182	48000	2	mp3	8061343	ok	
The-Unholy-Blood/04 - Glamour.mp3	118.200000	192	48000	2	mp3	2837241	ok	
The-Unholy-Blood/05 - Shadow-Walking.mp3	255.000000	184	48000	2	mp3	5894145	ok	
The-Unholy-Blood/06 - Blood-Tracking.mp3	144.960000	188	48000	2	mp3	3412191	ok	
The-Unholy-Blood/07 - The Old Men with Chicken Bones.mp3	292.344000	180	48000	2	mp3	6601593	ok	
The-Unholy-Blood/08 - Sacred Grove Barrier.mp3	258.912000	195	48000	2	mp3	6314804	ok	
The-Unholy-Blood/09 - Luring the Fifth.mp3	253.560000	183	48000	2	mp3	5806278	ok	
The-Unholy-Blood/10 - Unholy Blood.mp3	212.544000	179	48000	2	mp3	4781705	ok	
The-Unholy-Blood/11 - She-Who-Drinks-Eternal.mp3	61.632000	169	48000	2	mp3	1308201	ok	
The-Unholy-Blood/12 - Dalisay's Prayer.mp3	30.552000	172	48000	2	mp3	659981	ok	
